,aconitase,aldehyde_fd_oxidoreductase,cdgsh_neet,cobg_precorrin,dihydroxyacid_dehydratase_ilvd,dna_glycosylase_muty,dna_glycosylase_nth,duf779_fes_candidate,fadh_dienoyl_coa,fbic_fo_synthase,ferredoxin_2fe2s,ferredoxin_4fe4s,ferredoxin_reductase_fprb,fes_reductase_ccg,fhuf_siderophore_reductase,glutamate_synthase,ipm_isomerase_leuc,ispg_hmbpp_synthase,isph_lytb,molybdoenzyme,nadh_dehydrogenase,nifu_assembly,nitrite_sulfite_reductase,phnj_cp_lyase,quinolinate_synthase_nada,radical_sam,radical_sam_biob,radical_sam_hemn,radical_sam_lipa,radical_sam_miab,radical_sam_moaa,radical_sam_pqqe,radical_sam_rlmn,rieske,rieske_nitrite_reductase,rieske_qcra,rieske_steroid_oxygenase,sdh_frd,sera_dehydrogenase,serine_dehydratase,suf_biogenesis,sufu_assembly,thic,whib
ferredoxin_4fe4s,0.05119,0.07021,0.22314,0.12338,0.07681,0.13521,0.16213,0.1731,0.05962,0.07347,0.0671,1.0,0.65496,0.40377,0.39656,0.35415,0.36871,0.39197,0.38021,0.33778,0.43483,0.42003,0.44904,0.37445,0.37929,0.41302,0.38288,0.38285,0.37914,0.38022,0.39932,0.35113,0.39867,0.35111,0.33154,0.32468,0.35898,0.50186,0.41297,0.43042,0.34623,0.37033,0.40232,0.37404
ferredoxin_reductase_fprb,0.23721,0.25237,0.29897,0.30051,0.23047,0.32194,0.33081,0.33807,0.4303,0.25438,0.25338,0.65496,1.0,0.28767,0.16459,0.54834,0.23818,0.20264,0.25013,0.21849,0.21364,0.13169,0.25153,0.1894,0.23234,0.22088,0.1967,0.21149,0.18863,0.26172,0.21512,0.20379,0.2504,0.20451,0.0961,0.15035,0.2007,0.15924,0.25688,0.24825,0.22899,0.11879,0.23171,0.10232
fes_reductase_ccg,0.23052,0.28542,0.30638,0.30837,0.2779,0.33008,0.40249,0.30252,0.29212,0.28494,0.26811,0.40377,0.28767,1.0,0.11917,0.2406,0.20943,0.16658,0.16516,0.18073,0.17782,0.10988,0.17678,0.14274,0.16394,0.17719,0.17412,0.18079,0.17845,0.18982,0.14334,0.15111,0.15158,0.17186,0.08175,0.1421,0.15752,0.12851,0.17927,0.18627,0.17697,0.09602,0.19165,0.07971
fhuf_siderophore_reductase,0.12349,0.17768,0.30416,0.22188,0.22072,0.23556,0.28464,0.28281,0.16203,0.18255,0.15123,0.39656,0.16459,0.11917,1.0,0.31871,0.33597,0.34799,0.27801,0.26676,0.34466,0.25663,0.3462,0.34087,0.28983,0.36243,0.38372,0.4163,0.35847,0.41982,0.37942,0.36497,0.39263,0.28998,0.20519,0.27225,0.28585,0.33047,0.32327,0.32522,0.31519,0.27866,0.40187,0.20861
glutamate_synthase,0.20177,0.27598,0.31363,0.32723,0.2694,0.31665,0.34569,0.31167,0.44026,0.23975,0.21316,0.35415,0.54834,0.2406,0.31871,1.0,0.27125,0.21697,0.28225,0.23109,0.25454,0.15837,0.3001,0.20364,0.25872,0.27497,0.24068,0.27446,0.26256,0.29529,0.25113,0.24945,0.24613,0.23151,0.11463,0.16696,0.23599,0.17831,0.27276,0.27074,0.26646,0.15846,0.27126,0.12193
ipm_isomerase_leuc,0.44843,0.24303,0.33398,0.28887,0.29856,0.27919,0.37624,0.33491,0.24919,0.28665,0.24376,0.36871,0.23818,0.20943,0.33597,0.27125,1.0,0.23065,0.26109,0.22928,0.27038,0.15028,0.30676,0.25172,0.26097,0.26714,0.20433,0.23986,0.23907,0.29808,0.24092,0.28416,0.26932,0.24859,0.1281,0.17474,0.22681,0.19916,0.29468,0.2421,0.25049,0.1644,0.27056,0.11221
ispg_hmbpp_synthase,0.18487,0.21835,0.40311,0.34456,0.20667,0.2885,0.37929,0.29176,0.33688,0.24322,0.21056,0.39197,0.20264,0.16658,0.34799,0.21697,0.23065,1.0,0.27415,0.28628,0.25936,0.19016,0.31688,0.23709,0.25773,0.39379,0.48378,0.39475,0.38271,0.35735,0.37197,0.39562,0.3882,0.251,0.16485,0.20614,0.2383,0.23885,0.25054,0.30278,0.26611,0.18649,0.59845,0.1336
isph_lytb,0.17078,0.1968,0.26347,0.24332,0.19099,0.31976,0.33237,0.3156,0.23013,0.22093,0.1863,0.38021,0.25013,0.16516,0.27801,0.28225,0.26109,0.27415,1.0,0.28947,0.29446,0.21371,0.31875,0.23513,0.45691,0.28435,0.31099,0.31044,0.32221,0.38427,0.31994,0.32642,0.29074,0.30738,0.16825,0.21406,0.27637,0.24552,0.33192,0.31056,0.3048,0.18025,0.32447,0.16869
molybdoenzyme,0.15108,0.22949,0.30679,0.27444,0.19271,0.30003,0.33195,0.3082,0.18431,0.21425,0.18693,0.33778,0.21849,0.18073,0.26676,0.23109,0.22928,0.28628,0.28947,1.0,0.25511,0.21223,0.25737,0.19256,0.25167,0.26624,0.25142,0.25463,0.2158,0.27319,0.24219,0.26644,0.27934,0.65417,0.25277,0.24395,0.7248,0.21653,0.28786,0.27764,0.25437,0.18628,0.26885,0.13386
nadh_dehydrogenase,0.19566,0.23472,0.39585,0.27546,0.2395,0.31808,0.34734,0.34638,0.26193,0.26978,0.24144,0.43483,0.21364,0.17782,0.34466,0.25454,0.27038,0.25936,0.29446,0.25511,1.0,0.22475,0.32803,0.25688,0.2311,0.26246,0.22304,0.29599,0.23511,0.30273,0.23474,0.27616,0.26122,0.22735,0.12496,0.18585,0.23322,0.22123,0.30252,0.31167,0.27206,0.16336,0.26637,0.11018
nifu_assembly,0.10782,0.15599,0.30838,0.23044,0.15094,0.21446,0.26478,0.24407,0.12547,0.1624,0.13084,0.42003,0.13169,0.10988,0.25663,0.15837,0.15028,0.19016,0.21371,0.21223,0.22475,1.0,0.41646,0.28352,0.29153,0.28698,0.27604,0.30065,0.24702,0.30758,0.29948,0.28675,0.27362,0.35074,0.2055,0.23796,0.31694,0.30817,0.31875,0.43211,0.32408,0.26781,0.33919,0.21355
nitrite_sulfite_reductase,0.19897,0.29899,0.34962,0.86439,0.29047,0.35866,0.33517,0.33948,0.23785,0.28382,0.24533,0.44904,0.25153,0.17678,0.3462,0.3001,0.30676,0.31688,0.31875,0.25737,0.32803,0.41646,1.0,0.20408,0.21481,0.23015,0.20545,0.27015,0.19779,0.26077,0.21856,0.24259,0.20884,0.24188,0.12441,0.18973,0.22713,0.18405,0.28042,0.25529,0.22806,0.14807,0.2659,0.10535
phnj_cp_lyase,0.14402,0.19012,0.27896,0.25112,0.21863,0.28055,0.27739,0.2764,0.18702,0.20686,0.19428,0.37445,0.1894,0.14274,0.34087,0.20364,0.25172,0.23709,0.23513,0.19256,0.25688,0.28352,0.20408,1.0,0.31377,0.32664,0.28793,0.29111,0.30802,0.30021,0.26786,0.29723,0.32141,0.26948,0.20446,0.24215,0.26405,0.28815,0.29681,0.29479,0.32582,0.19344,0.34102,0.17615
quinolinate_synthase_nada,0.19371,0.23343,0.27916,0.25791,0.22866,0.31274,0.32894,0.27958,0.2215,0.24839,0.16568,0.37929,0.23234,0.16394,0.28983,0.25872,0.26097,0.25773,0.45691,0.25167,0.2311,0.29153,0.21481,0.31377,1.0,0.29945,0.28025,0.28619,0.29797,0.32958,0.29596,0.2877,0.30382,0.29705,0.16708,0.22078,0.26817,0.23839,0.32788,0.30191,0.25103,0.17302,0.35009,0.15936
radical_sam,0.17013,0.21364,0.28621,0.27646,0.26724,0.29133,0.2954,0.29154,0.2729,0.27749,0.20189,0.41302,0.22088,0.17719,0.36243,0.27497,0.26714,0.39379,0.28435,0.26624,0.26246,0.28698,0.23015,0.32664,0.29945,1.0,0.53168,0.54065,0.53117,0.5284,0.55979,0.5381,0.5612,0.26463,0.15217,0.22034,0.26829,0.23284,0.32205,0.27054,0.3426,0.17282,0.44566,0.14977
radical_sam_biob,0.14716,0.19106,0.27463,0.25445,0.23646,0.28107,0.29815,0.28895,0.29968,0.26158,0.19028,0.38288,0.1967,0.17412,0.38372,0.24068,0.20433,0.48378,0.31099,0.25142,0.22304,0.27604,0.20545,0.28793,0.28025,0.53168,1.0,0.5211,0.52025,0.46972,0.51574,0.51315,0.49662,0.29763,0.1639,0.24359,0.26945,0.21266,0.26211,0.29393,0.29274,0.16808,0.45495,0.14379
radical_sam_hemn,0.17322,0.24182,0.29485,0.28627,0.238,0.27684,0.33678,0.28748,0.28708,0.2794,0.21283,0.38285,0.21149,0.18079,0.4163,0.27446,0.23986,0.39475,0.31044,0.25463,0.29599,0.30065,0.27015,0.29111,0.28619,0.54065,0.5211,1.0,0.49144,0.5198,0.56777,0.54454,0.49676,0.27211,0.16569,0.19781,0.25423,0.20143,0.26296,0.28905,0.29492,0.15776,0.44506,0.14249
radical_sam_lipa,0.15301,0.1863,0.26963,0.23145,0.21448,0.26454,0.29956,0.26563,0.23905,0.27793,0.18297,0.37914,0.18863,0.17845,0.35847,0.26256,0.23907,0.38271,0.32221,0.2158,0.23511,0.24702,0.19779,0.30802,0.29797,0.53117,0.52025,0.49144,1.0,0.58401,0.59416,0.57692,0.63322,0.27286,0.18917,0.22618,0.27726,0.24996,0.31116,0.28954,0.32113,0.19479,0.46594,0.19016
radical_sam_miab,0.23183,0.27621,0.31352,0.27667,0.24911,0.32725,0.32599,0.29708,0.2574,0.30465,0.21535,0.38022,0.26172,0.18982,0.41982,0.29529,0.29808,0.35735,0.38427,0.27319,0.30273,0.30758,0.26077,0.30021,0.32958,0.5284,0.46972,0.5198,0.58401,1.0,0.37953,0.34566,0.36739,0.24244,0.10303,0.15898,0.24845,0.18075,0.29611,0.27745,0.2509,0.10498,0.31568,0.10906
radical_sam_moaa,0.16997,0.21077,0.27448,0.29053,0.23094,0.30661,0.31246,0.30014,0.26294,0.25006,0.18756,0.39932,0.21512,0.14334,0.37942,0.25113,0.24092,0.37197,0.31994,0.24219,0.23474,0.29948,0.21856,0.26786,0.29596,0.55979,0.51574,0.56777,0.59416,0.37953,1.0,0.67796,0.54275,0.26135,0.16979,0.20851,0.24179,0.18607,0.28588,0.30187,0.28878,0.15571,0.46181,0.1501
radical_sam_pqqe,0.17293,0.22643,0.33595,0.29553,0.25589,0.31807,0.33101,0.33084,0.29467,0.27683,0.19479,0.35113,0.20379,0.15111,0.36497,0.24945,0.28416,0.39562,0.32642,0.26644,0.27616,0.28675,0.24259,0.29723,0.2877,0.5381,0.51315,0.54454,0.57692,0.34566,0.67796,1.0,0.49514,0.28694,0.15792,0.22331,0.25697,0.20182,0.2669,0.31214,0.30819,0.16264,0.43811,0.13029
radical_sam_rlmn,0.15811,0.21388,0.24555,0.24884,0.2713,0.28036,0.3438,0.321,0.25207,0.24354,0.20671,0.39867,0.2504,0.15158,0.39263,0.24613,0.26932,0.3882,0.29074,0.27934,0.26122,0.27362,0.20884,0.32141,0.30382,0.5612,0.49662,0.49676,0.63322,0.36739,0.54275,0.49514,1.0,0.25951,0.16623,0.21183,0.25756,0.26865,0.31249,0.30322,0.34567,0.19456,0.45868,0.1429
rieske,0.18419,0.2172,0.29415,0.2932,0.22223,0.26338,0.30666,0.34628,0.19616,0.24149,0.1712,0.35111,0.20451,0.17186,0.28998,0.23151,0.24859,0.251,0.30738,0.65417,0.22735,0.35074,0.24188,0.26948,0.29705,0.26463,0.29763,0.27211,0.27286,0.24244,0.26135,0.28694,0.25951,1.0,0.22804,0.20524,0.63769,0.21275,0.27954,0.32844,0.28062,0.18079,0.30192,0.14141
rieske_nitrite_reductase,0.07522,0.1057,0.3142,0.15651,0.09651,0.15694,0.20215,0.26728,0.08976,0.12204,0.09698,0.33154,0.0961,0.08175,0.20519,0.11463,0.1281,0.16485,0.16825,0.25277,0.12496,0.2055,0.12441,0.20446,0.16708,0.15217,0.1639,0.16569,0.18917,0.10303,0.16979,0.15792,0.16623,0.22804,1.0,0.6477,0.76175,0.31819,0.30834,0.39312,0.31832,0.32983,0.35649,0.28113
rieske_qcra,0.14231,0.18015,0.30677,0.2077,0.18129,0.21484,0.2672,0.3037,0.1318,0.17286,0.15803,0.32468,0.15035,0.1421,0.27225,0.16696,0.17474,0.20614,0.21406,0.24395,0.18585,0.23796,0.18973,0.24215,0.22078,0.22034,0.24359,0.19781,0.22618,0.15898,0.20851,0.22331,0.21183,0.20524,0.6477,1.0,0.16626,0.18523,0.23096,0.22164,0.1839,0.14437,0.23792,0.12846
rieske_steroid_oxygenase,0.15874,0.21293,0.30306,0.28943,0.22419,0.28126,0.3064,0.35042,0.19348,0.1973,0.16716,0.35898,0.2007,0.15752,0.28585,0.23599,0.22681,0.2383,0.27637,0.7248,0.23322,0.31694,0.22713,0.26405,0.26817,0.26829,0.26945,0.25423,0.27726,0.24845,0.24179,0.25697,0.25756,0.63769,0.76175,0.16626,1.0,0.2264,0.28633,0.2929,0.28845,0.19248,0.28365,0.15175
sdh_frd,0.123,0.17156,0.36147,0.24106,0.17654,0.24058,0.32208,0.29849,0.16503,0.16087,0.14782,0.50186,0.15924,0.12851,0.33047,0.17831,0.19916,0.23885,0.24552,0.21653,0.22123,0.30817,0.18405,0.28815,0.23839,0.23284,0.21266,0.20143,0.24996,0.18075,0.18607,0.20182,0.26865,0.21275,0.31819,0.18523,0.2264,1.0,0.29761,0.28678,0.28024,0.22604,0.32125,0.16273
sera_dehydrogenase,0.2031,0.21625,0.35466,0.29669,0.31441,0.30105,0.32605,0.34697,0.26421,0.33193,0.23908,0.41297,0.25688,0.17927,0.32327,0.27276,0.29468,0.25054,0.33192,0.28786,0.30252,0.31875,0.28042,0.29681,0.32788,0.32205,0.26211,0.26296,0.31116,0.29611,0.28588,0.2669,0.31249,0.27954,0.30834,0.23096,0.28633,0.29761,1.0,0.25348,0.219,0.12963,0.25089,0.10491
serine_dehydratase,0.18606,0.23652,0.28545,0.28735,0.26651,0.32819,0.38666,0.32994,0.21795,0.27949,0.24625,0.43042,0.24825,0.18627,0.32522,0.27074,0.2421,0.30278,0.31056,0.27764,0.31167,0.43211,0.25529,0.29479,0.30191,0.27054,0.29393,0.28905,0.28954,0.27745,0.30187,0.31214,0.30322,0.32844,0.39312,0.22164,0.2929,0.28678,0.25348,1.0,0.21037,0.17572,0.28529,0.1495
suf_biogenesis,0.17326,0.20653,0.34436,0.26274,0.25682,0.30564,0.29982,0.33459,0.2084,0.23469,0.20895,0.34623,0.22899,0.17697,0.31519,0.26646,0.25049,0.26611,0.3048,0.25437,0.27206,0.32408,0.22806,0.32582,0.25103,0.3426,0.29274,0.29492,0.32113,0.2509,0.28878,0.30819,0.34567,0.28062,0.31832,0.1839,0.28845,0.28024,0.219,0.21037,1.0,0.18151,0.32099,0.13467
sufu_assembly,0.08671,0.13261,0.35284,0.18973,0.1326,0.20683,0.24802,0.26673,0.11882,0.1557,0.11632,0.37033,0.11879,0.09602,0.27866,0.15846,0.1644,0.18649,0.18025,0.18628,0.16336,0.26781,0.14807,0.19344,0.17302,0.17282,0.16808,0.15776,0.19479,0.10498,0.15571,0.16264,0.19456,0.18079,0.32983,0.14437,0.19248,0.22604,0.12963,0.17572,0.18151,1.0,0.34365,0.22913
thic,0.19909,0.27535,0.36557,0.28148,0.24868,0.28476,0.33993,0.31447,0.34237,0.30148,0.23703,0.40232,0.23171,0.19165,0.40187,0.27126,0.27056,0.59845,0.32447,0.26885,0.26637,0.33919,0.2659,0.34102,0.35009,0.44566,0.45495,0.44506,0.46594,0.31568,0.46181,0.43811,0.45868,0.30192,0.35649,0.23792,0.28365,0.32125,0.25089,0.28529,0.32099,0.34365,1.0,0.10964
whib,0.06523,0.10307,0.27354,0.14979,0.11293,0.15563,0.2112,0.23513,0.08908,0.11305,0.08844,0.37404,0.10232,0.07971,0.20861,0.12193,0.11221,0.1336,0.16869,0.13386,0.11018,0.21355,0.10535,0.17615,0.15936,0.14977,0.14379,0.14249,0.19016,0.10906,0.1501,0.13029,0.1429,0.14141,0.28113,0.12846,0.15175,0.16273,0.10491,0.1495,0.13467,0.22913,0.10964,1.0
