genome	locus	family	cluster_type	provenance	functional_category	subsystem	redox_role	virulence_link
GCA_000230935.2	IIHJLC_02307	SUF_biogenesis	assembly	core_validated	Fe-S biogenesis	SUF assembly machinery	assembly	essential_SUF_operon
GCA_000230935.2	IIHJLC_02367	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_02370	Rieske_nitrite_reductase	2Fe-2S	core_validated	Nitrogen metabolism	Nitrite reduction	redox_catalysis	
GCA_000230935.2	IIHJLC_02384	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_02471	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_02491	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_02632	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_02638	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_02715	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_02743	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_02846	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_02940	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_02963	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_03199	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03241	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03248	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_03258	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03268	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_03281	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03414	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_03433	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_03478	Glutamate_synthase	3Fe-4S	core_validated	Amino acid metabolism	Glutamate synthase (GOGAT)	catalytic	
GCA_000230935.2	IIHJLC_03693	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03717	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_03718	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_03738	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03747	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03752	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_03812	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_03909	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_03997	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_04017	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_04101	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_04104	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_04121	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_04289	FeS_reductase_CCG	4Fe-4S	core_validated	Redox	CCG-domain (heterodisulfide-like)	redox_catalysis	
GCA_000230935.2	IIHJLC_04747	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_04758	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_04782	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_04783	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_04898	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_04981	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_04986	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_05014	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_05026	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_05066	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_05220	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_05227	DNA_glycosylase_Nth	4Fe-4S	core_validated	DNA repair	Base excision repair (EndoIII)	DNA_repair	oxidative_stress_survival
GCA_000230935.2	IIHJLC_05308	DNA_glycosylase_MutY	4Fe-4S	core_validated	DNA repair	Base excision repair (MutY)	DNA_repair	oxidative_stress_survival
GCA_000230935.2	IIHJLC_05330	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_05379	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_05397	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_05408	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_05429	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_05464	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_05591	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_05597	Rieske_steroid_oxygenase	2Fe-2S	core_validated	Lipid metabolism	Cholesterol/steroid catabolism	oxygenase	cholesterol_catabolism_virulence
GCA_000230935.2	IIHJLC_05641	Radical_SAM_MoaA	4Fe-4S	core_validated	Cofactor biosynthesis	Molybdopterin (moaA)	radical_catalysis	
GCA_000230935.2	IIHJLC_05656	Ferredoxin_reductase_FprB	FAD/2Fe-2S	core_validated	Electron transfer	Ferredoxin/flavodoxin reductase	electron_donor	
GCA_000230935.2	IIHJLC_05843	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_05961	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_05990	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_05994	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06033	SDH_FRD	2Fe-2S/4Fe-4S	core_validated	Energy metabolism	TCA / succinate dehydrogenase	electron_transport	essential_respiration
GCA_000230935.2	IIHJLC_06068	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06074	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_06154	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_06201	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06223	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_000230935.2	IIHJLC_06240	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_06273	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_000230935.2	IIHJLC_06319	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06322	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06351	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06422	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06431	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06439	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06489	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06491	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06492	NADH_dehydrogenase	2Fe-2S/4Fe-4S	core_validated	Energy metabolism	Respiratory complex I (nuo)	electron_transport	essential_respiration
GCA_000230935.2	IIHJLC_06520	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06567	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_000230935.2	IIHJLC_06630	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06648	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06649	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06714	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06749	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06785	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_000230935.2	IIHJLC_06816	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06856	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_06857	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_000230935.2	IIHJLC_07002	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_00038	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_00039	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_00116	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_001942045.1	COCIBI_00153	Radical_SAM_MoaA	4Fe-4S	core_validated	Cofactor biosynthesis	Molybdopterin (moaA)	radical_catalysis	
GCA_001942045.1	COCIBI_00171	Ferredoxin_reductase_FprB	FAD/2Fe-2S	core_validated	Electron transfer	Ferredoxin/flavodoxin reductase	electron_donor	
GCA_001942045.1	COCIBI_00224	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_00246	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_00337	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_00456	Rieske_steroid_oxygenase	2Fe-2S	core_validated	Lipid metabolism	Cholesterol/steroid catabolism	oxygenase	cholesterol_catabolism_virulence
GCA_001942045.1	COCIBI_00464	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_001942045.1	COCIBI_00519	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_00638	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_00669	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_00732	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_00816	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_001942045.1	COCIBI_00838	Rieske_nitrite_reductase	2Fe-2S	core_validated	Nitrogen metabolism	Nitrite reduction	redox_catalysis	
GCA_001942045.1	COCIBI_00847	SDH_FRD	2Fe-2S/4Fe-4S	core_validated	Energy metabolism	TCA / succinate dehydrogenase	electron_transport	essential_respiration
GCA_001942045.1	COCIBI_01355	SUF_biogenesis	assembly	core_validated	Fe-S biogenesis	SUF assembly machinery	assembly	essential_SUF_operon
GCA_001942045.1	COCIBI_01356	SUF_biogenesis	assembly	core_validated	Fe-S biogenesis	SUF assembly machinery	assembly	essential_SUF_operon
GCA_001942045.1	COCIBI_01434	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_001942045.1	COCIBI_01471	Glutamate_synthase	3Fe-4S	core_validated	Amino acid metabolism	Glutamate synthase (GOGAT)	catalytic	
GCA_001942045.1	COCIBI_01476	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_01530	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_01556	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_001942045.1	COCIBI_01595	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_01615	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_01635	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_01690	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_01691	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_01728	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_01736	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_001942045.1	COCIBI_01781	DNA_glycosylase_MutY	4Fe-4S	core_validated	DNA repair	Base excision repair (MutY)	DNA_repair	oxidative_stress_survival
GCA_001942045.1	COCIBI_01865	Radical_SAM_RlmN	4Fe-4S	core_validated	rRNA modification	rRNA methylation (rlmN)	radical_catalysis	
GCA_001942045.1	COCIBI_01874	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_01899	IspG_HMBPP_synthase	4Fe-4S	core_validated	Isoprenoid biosynthesis	MEP pathway (ispG)	catalytic_4Fe4S	essential_MEP
GCA_001942045.1	COCIBI_01973	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_01976	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_001942045.1	COCIBI_02030	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_001942045.1	COCIBI_02098	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_02127	Radical_SAM_PqqE	4Fe-4S	core_validated	Cofactor biosynthesis	PQQ biosynthesis	radical_catalysis	
GCA_001942045.1	COCIBI_02256	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02277	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_02287	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02291	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02309	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_02327	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02349	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02390	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_001942045.1	COCIBI_02424	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_001942045.1	COCIBI_02441	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_02494	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_02545	Radical_SAM	4Fe-4S	core_validated	Diverse catalysis	Radical-SAM enzymes (general)	radical_catalysis	
GCA_001942045.1	COCIBI_02623	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02625	Rieske	2Fe-2S	core_validated	Energy metabolism	Respiratory chain (bc1/cytochrome)	electron_transport	
GCA_001942045.1	COCIBI_02636	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_001942045.1	COCIBI_02674	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_001942045.1	COCIBI_02731	Ferredoxin_4Fe4S	4Fe-4S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02734	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02735	NADH_dehydrogenase	2Fe-2S/4Fe-4S	core_validated	Energy metabolism	Respiratory complex I (nuo)	electron_transport	essential_respiration
GCA_001942045.1	COCIBI_02739	NADH_dehydrogenase	4Fe-4S	core_validated	Energy metabolism	Respiratory complex I (nuo)	electron_transport	essential_respiration
GCA_001942045.1	COCIBI_02850	Ferredoxin_2Fe2S	2Fe-2S	core_validated	Electron transfer	General electron carrier	electron_shuttle	
GCA_001942045.1	COCIBI_02888	SDH_FRD	2Fe-2S/4Fe-4S	core_validated	Energy metabolism	TCA / succinate dehydrogenase	electron_transport	essential_respiration
GCA_001942045.1	COCIBI_03092	WhiB	4Fe-4S	core_validated	Redox regulation	WhiB transcription factors	redox_sensor	WhiB3_6_7_virulence
GCA_001942045.1	COCIBI_03444	Molybdoenzyme	4Fe-4S	core_validated	Anaerobic respiration	Molybdopterin oxidoreductases	electron_transport	
GCA_001942045.1	COCIBI_03690	Rieske_steroid_oxygenase	2Fe-2S	core_validated	Lipid metabolism	Cholesterol/steroid catabolism	oxygenase	cholesterol_catabolism_virulence
