shared name	genome_locus	family	cluster_type	provenance
zzz1026	GCF_010726645.1|MGLGKM_01987	Rieske_steroid_oxygenase	2Fe-2S	core_validated
zzz1027	GCF_010726645.1|MGLGKM_01990	Rieske	2Fe-2S	core_validated
zzz1028	GCF_010726645.1|MGLGKM_02784	Rieske	2Fe-2S	core_validated
zzz1029	GCF_010726645.1|MGLGKM_03108	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1030	GCF_010726645.1|MGLGKM_03997	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1031	GCF_010726645.1|MGLGKM_05163	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1032	GCF_010726765.1|EAIMEM_00449	Molybdoenzyme	4Fe-4S	core_validated
zzz1033	GCF_010726765.1|EAIMEM_02569	Rieske	2Fe-2S	core_validated
zzz1034	GCF_010726765.1|EAIMEM_04958	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1035	GCF_010726765.1|EAIMEM_05512	Radical_SAM	4Fe-4S	core_validated
zzz1036	GCF_010726955.1|EANIAI_00156	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1037	GCF_010726955.1|EANIAI_00433	Radical_SAM	4Fe-4S	core_validated
zzz1038	GCF_010726955.1|EANIAI_00864	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1039	GCF_010726955.1|EANIAI_01655	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1040	GCF_010726955.1|EANIAI_01734	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1041	GCF_010726955.1|EANIAI_02115	WhiB	4Fe-4S	core_validated
zzz1042	GCF_010726955.1|EANIAI_02599	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1043	GCF_010726955.1|EANIAI_02784	WhiB	4Fe-4S	core_validated
zzz1044	GCF_010726955.1|EANIAI_02798	Rieske	2Fe-2S	core_validated
zzz1045	GCF_010726955.1|EANIAI_03969	Molybdoenzyme	4Fe-4S	core_validated
zzz1046	GCF_010727125.1|OLIKMD_01175	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1047	GCF_010727125.1|OLIKMD_01975	Radical_SAM	4Fe-4S	core_validated
zzz1048	GCF_010727125.1|OLIKMD_04159	Molybdoenzyme	4Fe-4S	core_validated
zzz1049	GCF_010727325.1|DDOCJM_01090	Molybdoenzyme	4Fe-4S	core_validated
zzz1050	GCF_010727325.1|DDOCJM_02036	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1051	GCF_010727325.1|DDOCJM_02151	Rieske	2Fe-2S	core_validated
zzz1052	GCF_010727325.1|DDOCJM_02790	Molybdoenzyme	4Fe-4S	core_validated
zzz1053	GCF_010727325.1|DDOCJM_04963	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1054	GCF_010727325.1|DDOCJM_05874	WhiB	4Fe-4S	core_validated
zzz1055	GCF_010727475.1|EOJOJC_00903	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1056	GCF_010727475.1|EOJOJC_01377	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1057	GCF_010727475.1|EOJOJC_02296	WhiB	4Fe-4S	core_validated
zzz1058	GCF_010727475.1|EOJOJC_02723	Rieske	2Fe-2S	core_validated
zzz1059	GCF_010727475.1|EOJOJC_02993	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1060	GCF_010727475.1|EOJOJC_03394	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1061	GCF_010727475.1|EOJOJC_03650	Rieske	2Fe-2S	core_validated
zzz1062	GCF_010727475.1|EOJOJC_05113	Rieske	2Fe-2S	core_validated
zzz1063	GCF_010727475.1|EOJOJC_05189	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1064	GCF_010727475.1|EOJOJC_06386	Radical_SAM	4Fe-4S	core_validated
zzz1065	GCF_010727475.1|EOJOJC_07660	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1066	GCF_010727605.1|NFAJPE_04395	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1067	GCF_010727605.1|NFAJPE_04865	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1068	GCF_010727605.1|NFAJPE_05245	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1069	GCF_010727945.1|OHNIPE_00869	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1070	GCF_010727945.1|OHNIPE_02500	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1071	GCF_010727945.1|OHNIPE_04692	NADH_dehydrogenase	2Fe-2S	core_validated
zzz1072	GCF_010728155.1|OFGMNM_00228	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1073	GCF_010728155.1|OFGMNM_01153	Rieske	2Fe-2S	core_validated
zzz1074	GCF_010728155.1|OFGMNM_01502	Rieske	2Fe-2S	core_validated
zzz1075	GCF_010728325.1|MLIGNO_02052	Rieske	2Fe-2S	core_validated
zzz1076	GCF_010728325.1|MLIGNO_02851	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1077	GCF_010728325.1|MLIGNO_02892	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1078	GCF_010728325.1|MLIGNO_03565	WhiB	4Fe-4S	core_validated
zzz1079	GCF_010728325.1|MLIGNO_04378	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1080	GCF_010728325.1|MLIGNO_05563	WhiB	4Fe-4S	core_validated
zzz1081	GCF_010728725.1|JCNIKI_00008	WhiB	4Fe-4S	core_validated
zzz1082	GCF_010728725.1|JCNIKI_00223	Rieske	2Fe-2S	core_validated
zzz1083	GCF_010728725.1|JCNIKI_00225	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1084	GCF_010728725.1|JCNIKI_01941	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1085	GCF_010728725.1|JCNIKI_02074	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1086	GCF_010728725.1|JCNIKI_02272	Rieske	2Fe-2S	core_validated
zzz1087	GCF_010728725.1|JCNIKI_04645	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1088	GCF_010728725.1|JCNIKI_05080	Rieske	2Fe-2S	core_validated
zzz1089	GCF_010728725.1|JCNIKI_05295	WhiB	4Fe-4S	core_validated
zzz1090	GCF_010728725.1|JCNIKI_05297	WhiB	4Fe-4S	core_validated
zzz1091	GCF_010728725.1|JCNIKI_05667	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1092	GCF_010728725.1|JCNIKI_05714	Molybdoenzyme	4Fe-4S	core_validated
zzz1093	GCF_010728725.1|JCNIKI_05841	Rieske	2Fe-2S	core_validated
zzz1094	GCF_010728925.1|FIHPLG_05931	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1095	GCF_010729105.1|KEPHGJ_01535	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1096	GCF_010729105.1|KEPHGJ_01746	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1097	GCF_010729105.1|KEPHGJ_01803	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1098	GCF_010729105.1|KEPHGJ_03069	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1099	GCF_010729105.1|KEPHGJ_04310	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1100	GCF_010729105.1|KEPHGJ_04339	Rieske	2Fe-2S	core_validated
zzz1101	GCF_010729105.1|KEPHGJ_04342	Rieske	2Fe-2S	core_validated
zzz1102	GCF_010729105.1|KEPHGJ_04482	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1103	GCF_010729105.1|KEPHGJ_05150	Rieske	2Fe-2S	core_validated
zzz1104	GCF_010729105.1|KEPHGJ_05612	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1105	GCF_010729305.1|EFKBJI_00503	Rieske	2Fe-2S	core_validated
zzz1106	GCF_010729305.1|EFKBJI_00918	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1107	GCF_010729305.1|EFKBJI_02141	WhiB	4Fe-4S	core_validated
zzz1108	GCF_010729305.1|EFKBJI_02311	Radical_SAM	4Fe-4S	core_validated
zzz1109	GCF_010729485.1|DHHJDI_02558	SDH_FRD	2Fe-2S/4Fe-4S	core_validated
zzz1110	GCF_010729485.1|DHHJDI_02888	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1111	GCF_010729665.1|CPNEMP_00118	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1112	GCF_010729665.1|CPNEMP_01888	Rieske	2Fe-2S	core_validated
zzz1113	GCF_010729665.1|CPNEMP_02460	WhiB	4Fe-4S	core_validated
zzz1114	GCF_010729665.1|CPNEMP_02923	Rieske	2Fe-2S	core_validated
zzz1115	GCF_010729665.1|CPNEMP_03206	Rieske	2Fe-2S	core_validated
zzz1116	GCF_010729665.1|CPNEMP_03341	Rieske	2Fe-2S	core_validated
zzz1117	GCF_010729665.1|CPNEMP_03949	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1118	GCF_010729665.1|CPNEMP_04517	Rieske	2Fe-2S	core_validated
zzz1119	GCF_010729665.1|CPNEMP_04966	WhiB	4Fe-4S	core_validated
zzz1120	GCF_010729665.1|CPNEMP_05102	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1121	GCF_010729665.1|CPNEMP_05536	Molybdoenzyme	4Fe-4S	core_validated
zzz1122	GCF_010729665.1|CPNEMP_05570	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1123	GCF_010729895.1|MKFEHD_00624	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1124	GCF_010729895.1|MKFEHD_01114	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1125	GCF_010729895.1|MKFEHD_01169	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1126	GCF_010729895.1|MKFEHD_01468	WhiB	4Fe-4S	core_validated
zzz1127	GCF_010729895.1|MKFEHD_02009	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1128	GCF_010729895.1|MKFEHD_02724	Rieske	2Fe-2S	core_validated
zzz1129	GCF_010729895.1|MKFEHD_03362	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1130	GCF_010729895.1|MKFEHD_03581	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1131	GCF_010729895.1|MKFEHD_03692	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1132	GCF_010729895.1|MKFEHD_03695	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1133	GCF_010729895.1|MKFEHD_04269	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1134	GCF_010729895.1|MKFEHD_04277	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1135	GCF_010729895.1|MKFEHD_04360	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1136	GCF_010729895.1|MKFEHD_04394	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1137	GCF_010729895.1|MKFEHD_04734	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1138	GCF_010729895.1|MKFEHD_05055	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1139	GCF_010729895.1|MKFEHD_05258	WhiB	4Fe-4S	core_validated
zzz1140	GCF_010729895.1|MKFEHD_05260	Glutamate_synthase	3Fe-4S	core_validated
zzz1141	GCF_010729895.1|MKFEHD_05540	Rieske	2Fe-2S	core_validated
zzz1142	GCF_010730055.1|HPKKHF_00053	Ferredoxin_reductase_FprB	FAD/2Fe-2S	core_validated
zzz1143	GCF_010730055.1|HPKKHF_01341	Radical_SAM	4Fe-4S	core_validated
zzz1144	GCF_010730055.1|HPKKHF_01762	SUF_biogenesis	assembly	core_validated
zzz1145	GCF_010730055.1|HPKKHF_02094	Radical_SAM_MiaB	4Fe-4S	core_validated
zzz1146	GCF_010730195.1|HLDBFE_01174	Radical_SAM	4Fe-4S	core_validated
zzz1147	GCF_010730195.1|HLDBFE_01309	Rieske	2Fe-2S	core_validated
zzz1148	GCF_010730195.1|HLDBFE_03210	WhiB	4Fe-4S	core_validated
zzz1149	GCF_010730195.1|HLDBFE_04540	Rieske	2Fe-2S	core_validated
zzz1150	GCF_010730355.1|JDCJCB_00276	CobG_precorrin	4Fe-4S	core_validated
zzz1151	GCF_010730355.1|JDCJCB_02394	Rieske	2Fe-2S	core_validated
zzz1152	GCF_010730355.1|JDCJCB_04864	Rieske	2Fe-2S	core_validated
zzz1153	GCF_010730355.1|JDCJCB_05594	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1154	GCF_010730575.1|OEGFDI_00559	WhiB	4Fe-4S	core_validated
zzz1155	GCF_010730575.1|OEGFDI_02426	Rieske	2Fe-2S	core_validated
zzz1156	GCF_010730575.1|OEGFDI_02554	WhiB	4Fe-4S	core_validated
zzz1157	GCF_010730575.1|OEGFDI_03443	Radical_SAM	4Fe-4S	core_validated
zzz1158	GCF_010730575.1|OEGFDI_03577	Molybdoenzyme	4Fe-4S	core_validated
zzz1159	GCF_010730575.1|OEGFDI_03744	Radical_SAM	4Fe-4S	core_validated
zzz1160	GCF_010730575.1|OEGFDI_04541	Rieske	2Fe-2S	core_validated
zzz1161	GCF_010730745.1|KAPLMM_02610	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1162	GCF_010730745.1|KAPLMM_02779	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1163	GCF_010730955.1|OLGHOL_00630	Rieske	2Fe-2S	core_validated
zzz1164	GCF_010730955.1|OLGHOL_00788	Molybdoenzyme	4Fe-4S	core_validated
zzz1165	GCF_010730955.1|OLGHOL_01572	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1166	GCF_010730955.1|OLGHOL_02084	Rieske	2Fe-2S	core_validated
zzz1167	GCF_010730955.1|OLGHOL_02964	WhiB	4Fe-4S	core_validated
zzz1168	GCF_010730955.1|OLGHOL_03168	WhiB	4Fe-4S	core_validated
zzz1169	GCF_010730955.1|OLGHOL_03302	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1170	GCF_010730955.1|OLGHOL_04137	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1171	GCF_010730955.1|OLGHOL_04501	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1172	GCF_010730955.1|OLGHOL_05331	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1173	GCF_010730955.1|OLGHOL_05691	Radical_SAM_MiaB	4Fe-4S	core_validated
zzz1174	GCF_010730955.1|OLGHOL_06112	WhiB	4Fe-4S	core_validated
zzz1175	GCF_010731115.1|PGMJGA_00277	Rieske	2Fe-2S	core_validated
zzz1176	GCF_010731115.1|PGMJGA_00478	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1177	GCF_010731115.1|PGMJGA_01421	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1178	GCF_010731115.1|PGMJGA_02449	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1179	GCF_010731115.1|PGMJGA_05127	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1180	GCF_010731115.1|PGMJGA_05550	WhiB	4Fe-4S	core_validated
zzz1181	GCF_010731115.1|PGMJGA_05577	Rieske	2Fe-2S	core_validated
zzz1182	GCF_010731295.1|HFPHBD_01492	Rieske	2Fe-2S	core_validated
zzz1183	GCF_010731295.1|HFPHBD_05925	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1184	GCF_010731535.1|CGPLKJ_00092	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1185	GCF_010731535.1|CGPLKJ_02962	IPM_isomerase_LeuC	4Fe-4S	core_validated
zzz1186	GCF_010731575.1|IMNMND_00522	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1187	GCF_010731575.1|IMNMND_01029	Rieske	2Fe-2S	core_validated
zzz1188	GCF_010731575.1|IMNMND_01679	Molybdoenzyme	4Fe-4S	core_validated
zzz1189	GCF_010731575.1|IMNMND_04218	Rieske	2Fe-2S	core_validated
zzz1190	GCF_010731575.1|IMNMND_04251	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1191	GCF_010731575.1|IMNMND_05299	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1192	GCF_010731575.1|IMNMND_05300	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1193	GCF_010731595.1|AHAAOJ_02979	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1194	GCF_010731615.1|EDOEBO_00596	Radical_SAM	4Fe-4S	core_validated
zzz1195	GCF_010731615.1|EDOEBO_00796	Radical_SAM	4Fe-4S	core_validated
zzz1196	GCF_010731615.1|EDOEBO_00803	Rieske	2Fe-2S	core_validated
zzz1197	GCF_010731615.1|EDOEBO_00805	Molybdoenzyme	4Fe-4S	core_validated
zzz1198	GCF_010731615.1|EDOEBO_00922	Rieske	2Fe-2S	core_validated
zzz1199	GCF_010731615.1|EDOEBO_01740	Rieske	2Fe-2S	core_validated
zzz1200	GCF_010731615.1|EDOEBO_01751	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1201	GCF_010731615.1|EDOEBO_01754	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1202	GCF_010731615.1|EDOEBO_01816	Molybdoenzyme	4Fe-4S	core_validated
zzz1203	GCF_010731615.1|EDOEBO_02821	WhiB	4Fe-4S	core_validated
zzz1204	GCF_010731615.1|EDOEBO_03294	Radical_SAM	4Fe-4S	core_validated
zzz1205	GCF_010731615.1|EDOEBO_03560	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1206	GCF_010731615.1|EDOEBO_03919	Rieske	2Fe-2S	core_validated
zzz1207	GCF_010731615.1|EDOEBO_04251	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1208	GCF_010731635.1|HLMMNP_00537	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1209	GCF_010731635.1|HLMMNP_02650	Rieske	2Fe-2S	core_validated
zzz1210	GCF_010731635.1|HLMMNP_04218	Molybdoenzyme	4Fe-4S	core_validated
zzz1211	GCF_010731655.1|KHBNMD_01445	Rieske	2Fe-2S	core_validated
zzz1212	GCF_010731655.1|KHBNMD_01467	Rieske	2Fe-2S	core_validated
zzz1213	GCF_010731655.1|KHBNMD_01604	Rieske	2Fe-2S	core_validated
zzz1214	GCF_010731655.1|KHBNMD_01609	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1215	GCF_010731655.1|KHBNMD_01689	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1216	GCF_010731655.1|KHBNMD_01709	Molybdoenzyme	4Fe-4S	core_validated
zzz1217	GCF_010731655.1|KHBNMD_03873	Rieske	2Fe-2S	core_validated
zzz1218	GCF_010731655.1|KHBNMD_05499	Radical_SAM	4Fe-4S	core_validated
zzz1219	GCF_010731675.1|NLOKBF_02606	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1220	GCF_010731675.1|NLOKBF_02623	Molybdoenzyme	4Fe-4S	core_validated
zzz1221	GCF_010731695.1|EAPKMK_01045	Molybdoenzyme	4Fe-4S	core_validated
zzz1222	GCF_010731695.1|EAPKMK_04288	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1223	GCF_010731715.1|NEFLII_02379	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1224	GCF_010731715.1|NEFLII_02418	Rieske	2Fe-2S	core_validated
zzz1225	GCF_010731715.1|NEFLII_03038	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1226	GCF_010731715.1|NEFLII_04751	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1227	GCF_010731715.1|NEFLII_05931	WhiB	4Fe-4S	core_validated
zzz1228	GCF_010731715.1|NEFLII_06053	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1229	GCF_010731715.1|NEFLII_06066	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1230	GCF_010731755.1|HFHJKP_00586	Rieske	2Fe-2S	core_validated
zzz1231	GCF_010731755.1|HFHJKP_00745	WhiB	4Fe-4S	core_validated
zzz1232	GCF_010731755.1|HFHJKP_02055	FeS_reductase_CCG	4Fe-4S	core_validated
zzz1233	GCF_010731775.1|IOCPNH_02081	Rieske	2Fe-2S	core_validated
zzz1234	GCF_010731775.1|IOCPNH_02086	Rieske	2Fe-2S	core_validated
zzz1235	GCF_010731775.1|IOCPNH_02136	Rieske	2Fe-2S	core_validated
zzz1236	GCF_010731775.1|IOCPNH_02140	Rieske	2Fe-2S	core_validated
zzz1237	GCF_010731775.1|IOCPNH_02157	Rieske	2Fe-2S	core_validated
zzz1238	GCF_010731775.1|IOCPNH_02158	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1239	GCF_010731775.1|IOCPNH_02181	Rieske	2Fe-2S	core_validated
zzz1240	GCF_010731775.1|IOCPNH_02190	Rieske	2Fe-2S	core_validated
zzz1241	GCF_010731775.1|IOCPNH_02195	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1242	GCF_010731775.1|IOCPNH_02204	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1243	GCF_010731775.1|IOCPNH_02229	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1244	GCF_010731775.1|IOCPNH_02270	Rieske	2Fe-2S	core_validated
zzz1245	GCF_010731775.1|IOCPNH_02276	Rieske	2Fe-2S	core_validated
zzz1246	GCF_010731795.1|BCFFJM_00405	Radical_SAM	4Fe-4S	core_validated
zzz1247	GCF_010731795.1|BCFFJM_00863	Molybdoenzyme	4Fe-4S	core_validated
zzz1248	GCF_010731795.1|BCFFJM_01823	Rieske_steroid_oxygenase	2Fe-2S	core_validated
zzz1249	GCF_010731815.2|PDNDAE_00332	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1250	GCF_010731815.2|PDNDAE_02174	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1251	GCF_010731815.2|PDNDAE_03070	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1252	GCF_010731815.2|PDNDAE_05930	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1253	GCF_010731815.2|PDNDAE_06143	WhiB	4Fe-4S	core_validated
zzz1254	GCF_010731855.1|IHIGLN_00219	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1255	GCF_010731855.1|IHIGLN_00481	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1256	GCF_010731855.1|IHIGLN_00572	WhiB	4Fe-4S	core_validated
zzz1257	GCF_010731855.1|IHIGLN_00807	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1258	GCF_010731855.1|IHIGLN_00839	Molybdoenzyme	4Fe-4S	core_validated
zzz1259	GCF_010731855.1|IHIGLN_01649	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1260	GCF_010731855.1|IHIGLN_01692	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1261	GCF_010731855.1|IHIGLN_01765	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1262	GCF_010731855.1|IHIGLN_02425	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1263	GCF_010731855.1|IHIGLN_02460	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1264	GCF_010731855.1|IHIGLN_03391	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1265	GCF_010731855.1|IHIGLN_03588	WhiB	4Fe-4S	core_validated
zzz1266	GCF_010731855.1|IHIGLN_03957	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1267	GCF_010731855.1|IHIGLN_03960	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1268	GCF_010731855.1|IHIGLN_04119	Rieske	2Fe-2S	core_validated
zzz1269	GCF_010731855.1|IHIGLN_04737	Rieske	2Fe-2S	core_validated
zzz1270	GCF_010731875.1|KGNDLK_00141	WhiB	4Fe-4S	core_validated
zzz1271	GCF_010731875.1|KGNDLK_00146	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1272	GCF_010731875.1|KGNDLK_00431	WhiB	4Fe-4S	core_validated
zzz1273	GCF_010731895.1|POJAMD_00150	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1274	GCF_010731895.1|POJAMD_00154	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1275	GCF_010731895.1|POJAMD_00561	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1276	GCF_010731895.1|POJAMD_01096	WhiB	4Fe-4S	core_validated
zzz1277	GCF_010731895.1|POJAMD_01445	Rieske	2Fe-2S	core_validated
zzz1278	GCF_010731895.1|POJAMD_01888	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1279	GCF_010731895.1|POJAMD_03260	Ferredoxin_4Fe4S	4Fe-4S	core_validated
zzz1280	GCF_010731895.1|POJAMD_03325	Ferredoxin_2Fe2S	2Fe-2S	core_validated
zzz1281	GCF_010731895.1|POJAMD_03813	Radical_SAM	4Fe-4S	core_validated
