node_id	fine_family	super_family
GCA_003347205.1|ENJDEI_00566	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_003347205.1|ENJDEI_00567	Molybdoenzyme	Molybdoenzyme
GCA_003347205.1|ENJDEI_00631	Rieske	Rieske
GCA_003347205.1|ENJDEI_01097	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_003347205.1|ENJDEI_01098	Molybdoenzyme	Molybdoenzyme
GCA_003347205.1|ENJDEI_01521	Rieske	Rieske
GCA_003347205.1|ENJDEI_01522	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_003347205.1|ENJDEI_01654	Molybdoenzyme	Molybdoenzyme
GCA_003347205.1|ENJDEI_01856	Molybdoenzyme	Molybdoenzyme
GCA_003347205.1|ENJDEI_02055	WhiB	WhiB
GCA_003347205.1|ENJDEI_02100	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_003347205.1|ENJDEI_04538	Rieske	Rieske
GCA_003347205.1|ENJDEI_04780	Rieske	Rieske
GCA_003347205.1|ENJDEI_04785	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_003347205.1|ENJDEI_04796	Rieske	Rieske
GCA_003347205.1|ENJDEI_04808	Rieske	Rieske
GCA_003347205.1|ENJDEI_04825	Rieske	Rieske
GCA_003347205.1|ENJDEI_04832	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_003347205.1|ENJDEI_04833	Rieske	Rieske
GCA_003347205.1|ENJDEI_04839	Rieske	Rieske
GCA_003347205.1|ENJDEI_05250	WhiB	WhiB
GCA_003347205.1|ENJDEI_05554	Molybdoenzyme	Molybdoenzyme
GCA_003347205.1|ENJDEI_05600	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_003347205.1|ENJDEI_06697	WhiB	WhiB
GCA_003347205.1|ENJDEI_06805	Rieske	Rieske
GCA_014204435.1|DEEGIK_00048	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_014204435.1|DEEGIK_00249	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_014204435.1|DEEGIK_00674	Rieske_nitrite_reductase	Rieske
GCA_014204435.1|DEEGIK_01259	Molybdoenzyme	Molybdoenzyme
GCA_014204435.1|DEEGIK_01759	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_014204435.1|DEEGIK_01933	SUF_biogenesis	SUF_biogenesis
GCA_014204435.1|DEEGIK_02588	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_014204435.1|DEEGIK_02837	Radical_SAM_MoaA	Radical_SAM
GCA_014204435.1|DEEGIK_02858	Ferredoxin_reductase_FprB	Ferredoxin_reductase_FprB
GCA_014204435.1|DEEGIK_03026	Rieske	Rieske
GCA_014204435.1|DEEGIK_03170	Radical_SAM	Radical_SAM
GCA_014204435.1|DEEGIK_03245	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_014204435.1|DEEGIK_03484	Molybdoenzyme	Molybdoenzyme
GCA_014204435.1|DEEGIK_03700	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_021654635.1|FDLLPI_00123	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_021654635.1|FDLLPI_00133	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_021654635.1|FDLLPI_00634	FeS_reductase_CCG	FeS_reductase_CCG
GCA_021654635.1|FDLLPI_01416	Radical_SAM	Radical_SAM
GCA_021654635.1|FDLLPI_01775	Rieske	Rieske
GCA_021654635.1|FDLLPI_02760	DNA_glycosylase	DNA_glycosylase
GCA_021654635.1|FDLLPI_03106	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_021654635.1|FDLLPI_03570	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_021654635.1|FDLLPI_04411	Rieske	Rieske
GCA_021654635.1|FDLLPI_04498	Rieske	Rieske
GCA_021654635.1|FDLLPI_04567	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_021654635.1|FDLLPI_04568	Molybdoenzyme	Molybdoenzyme
GCA_024758765.1|BFAGPI_00254	WhiB	WhiB
GCA_024758765.1|BFAGPI_00700	WhiB	WhiB
GCA_024758765.1|BFAGPI_01328	Molybdoenzyme	Molybdoenzyme
GCA_024758765.1|BFAGPI_01912	WhiB	WhiB
GCA_900078775.1|GCOGJI_00202	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_00564	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_00697	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_900078775.1|GCOGJI_00899	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_01416	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_01447	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_01981	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_900078775.1|GCOGJI_02260	Rieske	Rieske
GCA_900078775.1|GCOGJI_02608	WhiB	WhiB
GCA_900078775.1|GCOGJI_02925	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_900078775.1|GCOGJI_03908	Rieske	Rieske
GCA_900078775.1|GCOGJI_04347	Molybdoenzyme	Molybdoenzyme
GCA_900078775.1|GCOGJI_04368	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_04673	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_04720	Rieske	Rieske
GCA_900078775.1|GCOGJI_04737	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_900078775.1|GCOGJI_04973	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_900078775.1|GCOGJI_05188	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCA_965234515.1|LLCAGK_00256	WhiB	WhiB
GCA_965234515.1|LLCAGK_00459	FeS_reductase_CCG	FeS_reductase_CCG
GCA_965234515.1|LLCAGK_01239	Radical_SAM	Radical_SAM
GCA_965234515.1|LLCAGK_01299	Rieske	Rieske
GCA_965234515.1|LLCAGK_01997	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_965234515.1|LLCAGK_02173	Rieske	Rieske
GCA_965234515.1|LLCAGK_02595	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_965234515.1|LLCAGK_02657	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_965234515.1|LLCAGK_02840	Ferredoxin_reductase_FprB	Ferredoxin_reductase_FprB
GCA_965234515.1|LLCAGK_03007	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCA_965234515.1|LLCAGK_03172	WhiB	WhiB
GCA_965234515.1|LLCAGK_03234	WhiB	WhiB
GCA_965234515.1|LLCAGK_03235	WhiB	WhiB
GCF_000069185.1|JCAPDB_00930	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000069185.1|JCAPDB_01792	WhiB	WhiB
GCF_000069185.1|JCAPDB_01793	WhiB	WhiB
GCF_000069185.1|JCAPDB_02182	NADH_dehydrogenase	NADH_dehydrogenase
GCF_000069185.1|JCAPDB_02427	Molybdoenzyme	Molybdoenzyme
GCF_000069185.1|JCAPDB_02548	Rieske	Rieske
GCF_000069185.1|JCAPDB_02974	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000069185.1|JCAPDB_03609	Molybdoenzyme	Molybdoenzyme
GCF_000069185.1|JCAPDB_03933	Molybdoenzyme	Molybdoenzyme
GCF_000069185.1|JCAPDB_04090	Molybdoenzyme	Molybdoenzyme
GCF_000069185.1|JCAPDB_04416	WhiB	WhiB
GCF_000069185.1|JCAPDB_04444	Rieske	Rieske
GCF_000069185.1|JCAPDB_04445	Rieske	Rieske
GCF_000069185.1|JCAPDB_04577	WhiB	WhiB
GCF_000157895.3|FCNCLM_00247	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000157895.3|FCNCLM_02089	Radical_SAM	Radical_SAM
GCF_000157895.3|FCNCLM_02372	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000157895.3|FCNCLM_02605	WhiB	WhiB
GCF_000157895.3|FCNCLM_02610	Molybdoenzyme	Molybdoenzyme
GCF_000157895.3|FCNCLM_04076	Radical_SAM	Radical_SAM
GCF_000157895.3|FCNCLM_04677	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000157895.3|FCNCLM_04849	WhiB	WhiB
GCF_000157895.3|FCNCLM_05272	Rieske	Rieske
GCF_000157895.3|FCNCLM_05453	Radical_SAM	Radical_SAM
GCF_000157895.3|FCNCLM_05639	Radical_SAM	Radical_SAM
GCF_000164135.1|CKIPBC_00355	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000164135.1|CKIPBC_00381	WhiB	WhiB
GCF_000164135.1|CKIPBC_01915	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000164135.1|CKIPBC_01964	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000164135.1|CKIPBC_02155	WhiB	WhiB
GCF_000195855.1|AOHDED_00815	SUF_biogenesis	SUF_biogenesis
GCF_000195855.1|AOHDED_00885	WhiB	WhiB
GCF_000195855.1|AOHDED_01551	Radical_SAM	Radical_SAM
GCF_000195855.1|AOHDED_02316	IspG_HMBPP_synthase	IspG_HMBPP_synthase
GCF_000195855.1|AOHDED_03797	Rieske	Rieske
GCF_000195955.2|LNBHIF_02331	Rieske_QcrA	Rieske
GCF_000195955.2|LNBHIF_03943	Radical_SAM	Radical_SAM
GCF_000230895.2|PBJCBO_00118	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000230895.2|PBJCBO_00173	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000230895.2|PBJCBO_00334	WhiB	WhiB
GCF_000230895.2|PBJCBO_00419	WhiB	WhiB
GCF_000230895.2|PBJCBO_02087	Rieske	Rieske
GCF_000230895.2|PBJCBO_02702	Rieske	Rieske
GCF_000230895.2|PBJCBO_02947	WhiB	WhiB
GCF_000230895.2|PBJCBO_03873	WhiB	WhiB
GCF_000230895.2|PBJCBO_04304	Radical_SAM	Radical_SAM
GCF_000230895.2|PBJCBO_05189	Molybdoenzyme	Molybdoenzyme
GCF_000243415.2|ALPODB_00342	DNA_glycosylase	DNA_glycosylase
GCF_000243415.2|ALPODB_00357	WhiB	WhiB
GCF_000243415.2|ALPODB_00359	WhiB	WhiB
GCF_000243415.2|ALPODB_01220	Rieske	Rieske
GCF_000243415.2|ALPODB_02987	Rieske	Rieske
GCF_000243415.2|ALPODB_05180	WhiB	WhiB
GCF_000243415.2|ALPODB_05512	Radical_SAM	Radical_SAM
GCF_000243415.2|ALPODB_05566	WhiB	WhiB
GCF_000243415.2|ALPODB_06780	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000243415.2|ALPODB_07169	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000243415.2|ALPODB_07193	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000266905.1|LBEBCA_02709	DNA_glycosylase	DNA_glycosylase
GCF_000266905.1|LBEBCA_05389	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000266905.1|LBEBCA_05458	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000266905.1|LBEBCA_05564	WhiB	WhiB
GCF_000277125.1|LDENKL_00724	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000277125.1|LDENKL_00854	Radical_SAM	Radical_SAM
GCF_000277125.1|LDENKL_01512	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000277125.1|LDENKL_01534	Rieske	Rieske
GCF_000277125.1|LDENKL_01558	DNA_glycosylase	DNA_glycosylase
GCF_000277125.1|LDENKL_03773	Molybdoenzyme	Molybdoenzyme
GCF_000317305.3|FDNKGF_00177	Rieske	Rieske
GCF_000317305.3|FDNKGF_00591	Molybdoenzyme	Molybdoenzyme
GCF_000317305.3|FDNKGF_00816	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000317305.3|FDNKGF_00985	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000317305.3|FDNKGF_01355	Rieske	Rieske
GCF_000317305.3|FDNKGF_02770	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000317305.3|FDNKGF_02771	Molybdoenzyme	Molybdoenzyme
GCF_000317305.3|FDNKGF_02889	Rieske	Rieske
GCF_000317305.3|FDNKGF_03301	Rieske	Rieske
GCF_000317305.3|FDNKGF_03380	Rieske	Rieske
GCF_000317305.3|FDNKGF_03382	Rieske	Rieske
GCF_000317305.3|FDNKGF_03389	Rieske	Rieske
GCF_000317305.3|FDNKGF_04562	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000340435.2|NMFDDK_01212	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000340435.2|NMFDDK_01468	Radical_SAM	Radical_SAM
GCF_000340435.2|NMFDDK_02620	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000340435.2|NMFDDK_03086	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000455325.1|AEINLG_00239	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000455325.1|AEINLG_00305	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000455325.1|AEINLG_00912	Rieske	Rieske
GCF_000455325.1|AEINLG_00955	Molybdoenzyme	Molybdoenzyme
GCF_000455325.1|AEINLG_01122	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000455325.1|AEINLG_01809	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000455325.1|AEINLG_02343	Molybdoenzyme	Molybdoenzyme
GCF_000455325.1|AEINLG_02493	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000455325.1|AEINLG_03026	Rieske	Rieske
GCF_000455325.1|AEINLG_03133	Rieske	Rieske
GCF_000455325.1|AEINLG_03862	Radical_SAM	Radical_SAM
GCF_000455325.1|AEINLG_05153	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000455325.1|AEINLG_06507	WhiB	WhiB
GCF_000455325.1|AEINLG_06587	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000455325.1|AEINLG_06635	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000526915.1|CDBLFG_00165	Rieske	Rieske
GCF_000526915.1|CDBLFG_01447	SUF_biogenesis	SUF_biogenesis
GCF_000526915.1|CDBLFG_02703	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000526915.1|CDBLFG_04679	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000559085.1|EOJIBH_00646	Rieske	Rieske
GCF_000559085.1|EOJIBH_00940	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000559085.1|EOJIBH_01751	Rieske	Rieske
GCF_000559085.1|EOJIBH_01932	Rieske	Rieske
GCF_000559085.1|EOJIBH_01935	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000559085.1|EOJIBH_02689	Rieske	Rieske
GCF_000559085.1|EOJIBH_05117	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000559085.1|EOJIBH_05548	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000559085.1|EOJIBH_05720	WhiB	WhiB
GCF_000559085.1|EOJIBH_05739	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000559085.1|EOJIBH_05740	Rieske	Rieske
GCF_000559085.1|EOJIBH_05756	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000559085.1|EOJIBH_05791	Rieske	Rieske
GCF_000612725.1|JGDAPI_00269	Radical_SAM	Radical_SAM
GCF_000612725.1|JGDAPI_00919	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000612725.1|JGDAPI_00923	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000612725.1|JGDAPI_01160	Rieske	Rieske
GCF_000612725.1|JGDAPI_02154	Rieske	Rieske
GCF_000612725.1|JGDAPI_02156	Rieske	Rieske
GCF_000612725.1|JGDAPI_02912	Rieske	Rieske
GCF_000612725.1|JGDAPI_04556	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000613185.1|DEKGNI_00618	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000613185.1|DEKGNI_00644	Rieske	Rieske
GCF_000613185.1|DEKGNI_00759	Molybdoenzyme	Molybdoenzyme
GCF_000613185.1|DEKGNI_00915	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000613185.1|DEKGNI_00963	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000613185.1|DEKGNI_02558	WhiB	WhiB
GCF_000613185.1|DEKGNI_03055	Rieske	Rieske
GCF_000613185.1|DEKGNI_03184	Rieske	Rieske
GCF_000613185.1|DEKGNI_03679	Rieske	Rieske
GCF_000613185.1|DEKGNI_03847	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000613185.1|DEKGNI_04115	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000613185.1|DEKGNI_04371	DNA_glycosylase	DNA_glycosylase
GCF_000613185.1|DEKGNI_05186	Radical_SAM	Radical_SAM
GCF_000613185.1|DEKGNI_05790	Molybdoenzyme	Molybdoenzyme
GCF_000613185.1|DEKGNI_05908	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000613245.1|NDOOKD_02345	DNA_glycosylase	DNA_glycosylase
GCF_000613245.1|NDOOKD_03099	Rieske	Rieske
GCF_000613245.1|NDOOKD_05123	Rieske	Rieske
GCF_000689255.1|AJFJEL_01500	Rieske	Rieske
GCF_000689255.1|AJFJEL_04017	Rieske	Rieske
GCF_000689255.1|AJFJEL_04615	Molybdoenzyme	Molybdoenzyme
GCF_000689255.1|AJFJEL_04618	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000689255.1|AJFJEL_04635	Rieske	Rieske
GCF_000689255.1|AJFJEL_04775	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000689255.1|AJFJEL_05590	WhiB	WhiB
GCF_000691525.1|AEHFAI_01221	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000691525.1|AEHFAI_01496	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000691525.1|AEHFAI_02088	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000691525.1|AEHFAI_02787	WhiB	WhiB
GCF_000691525.1|AEHFAI_03771	DNA_glycosylase	DNA_glycosylase
GCF_000691525.1|AEHFAI_04209	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000691525.1|AEHFAI_04236	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000691525.1|AEHFAI_04901	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000805385.1|IADILM_00372	DNA_glycosylase	DNA_glycosylase
GCF_000805385.1|IADILM_00675	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000805385.1|IADILM_00902	WhiB	WhiB
GCF_000805385.1|IADILM_03391	Rieske	Rieske
GCF_000805385.1|IADILM_03655	Radical_SAM	Radical_SAM
GCF_000805385.1|IADILM_05445	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_000975265.2|FLJPOE_00652	WhiB	WhiB
GCF_000975265.2|FLJPOE_01009	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_000975265.2|FLJPOE_01433	WhiB	WhiB
GCF_000975265.2|FLJPOE_02680	WhiB	WhiB
GCF_001044235.1|DCGJCM_00264	Ferredoxin_2Fe2S	Ferredoxin_2Fe2S
GCF_001044235.1|DCGJCM_00775	Radical_SAM	Radical_SAM
GCF_001044235.1|DCGJCM_00776	Radical_SAM	Radical_SAM
GCF_001044235.1|DCGJCM_00938	DNA_glycosylase	DNA_glycosylase
GCF_001044235.1|DCGJCM_01089	WhiB	WhiB
GCF_001044235.1|DCGJCM_01631	WhiB	WhiB
GCF_001044235.1|DCGJCM_01651	Ferredoxin_4Fe4S	Ferredoxin_4Fe4S
GCF_001044235.1|DCGJCM_01664	Radical_SAM	Radical_SAM
GCF_001044235.1|DCGJCM_03304	WhiB	WhiB
GCF_001044235.1|DCGJCM_03439	Molybdoenzyme	Molybdoenzyme
