DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	Fe-S families
COLOR	#ff0000
FIELD_LABELS	Aconitase	Aldehyde_Fd_oxidoreductase	CDGSH_NEET	CobG_precorrin	DNA_glycosylase_MutY	DNA_glycosylase_Nth	DUF779_FeS_candidate	Dihydroxyacid_dehydratase_IlvD	FadH_dienoyl_CoA	FbiC_FO_synthase	FeS_reductase_CCG	Ferredoxin_2Fe2S	Ferredoxin_4Fe4S	Ferredoxin_reductase_FprB	FhuF_siderophore_reductase	Glutamate_synthase	IPM_isomerase_LeuC	IspG_HMBPP_synthase	IspH_LytB	Molybdoenzyme	NADH_dehydrogenase	NifU_assembly	Nitrite_sulfite_reductase	PhnJ_CP_lyase	Quinolinate_synthase_NadA	Radical_SAM	Radical_SAM_BioB	Radical_SAM_HemN	Radical_SAM_LipA	Radical_SAM_MiaB	Radical_SAM_MoaA	Radical_SAM_PqqE	Radical_SAM_RlmN	Rieske	Rieske_QcrA	Rieske_nitrite_reductase	Rieske_steroid_oxygenase	SDH_FRD	SUF_biogenesis	SerA_dehydrogenase	Serine_dehydratase	SufU_assembly	ThiC	WhiB
GCF_001552715.1	1	0	1	0	1	1	0	3	0	0	0	14	22	1	0	2	1	1	0	10	4	0	3	0	1	10	0	0	0	1	1	0	0	25	1	1	2	1	2	1	1	1	0	7
GCF_001570425.1	2	0	1	0	1	1	0	3	0	0	1	17	22	1	1	1	1	1	1	9	9	0	2	0	1	12	0	0	0	1	1	0	1	21	1	1	1	2	2	1	2	1	1	9
GCF_001570485.1	1	0	1	0	1	1	0	2	0	0	1	9	23	1	1	2	1	1	1	11	5	2	2	0	1	9	0	0	0	1	1	0	0	25	1	1	3	1	2	0	0	1	1	10
GCF_001583415.1	1	0	1	0	1	1	0	3	0	0	1	5	18	1	1	2	1	1	1	10	4	0	2	1	1	11	0	0	0	0	1	0	0	16	1	1	3	1	2	1	0	1	1	6
GCF_001605725.1	2	0	0	0	0	1	0	2	0	1	0	7	8	1	1	1	1	1	1	9	2	1	2	0	1	4	1	1	0	1	1	1	0	7	0	1	1	2	2	0	0	1	1	10
GCF_001632805.1	1	0	0	0	0	1	0	1	0	0	0	6	8	1	1	1	1	1	1	11	2	0	2	0	1	6	0	1	0	1	1	0	0	6	0	1	1	1	2	1	0	1	1	8
GCF_001644575.1	1	0	1	0	1	1	0	3	0	0	1	9	17	1	1	2	1	1	1	11	5	0	3	0	1	10	0	0	0	0	1	0	1	17	1	1	2	2	2	0	0	1	1	8
GCF_001650495.1	1	0	0	0	1	1	0	2	0	0	1	10	17	1	0	2	1	1	1	12	5	0	3	0	1	8	0	0	0	1	1	0	0	17	1	1	2	1	2	0	1	1	1	8
GCF_001665625.1	2	0	2	0	0	1	0	1	0	0	1	7	23	1	2	2	1	1	1	14	3	0	2	0	1	7	0	0	1	1	1	1	1	14	1	1	2	1	2	1	1	1	1	10
GCF_001665785.1	2	0	2	0	0	1	0	2	0	0	1	8	22	1	2	2	1	1	1	12	4	0	2	0	1	8	0	0	1	1	1	0	1	20	1	1	2	2	2	1	1	1	1	8
GCF_001665835.1	2	0	1	0	1	1	0	1	0	1	1	5	15	1	1	1	2	1	1	11	7	0	4	0	1	8	1	1	1	1	1	1	1	17	1	1	3	2	2	1	0	1	1	6
GCF_001667375.1	2	0	1	0	0	1	0	1	0	0	1	5	13	1	1	1	1	1	1	6	4	0	2	0	1	10	0	0	0	0	1	0	0	13	0	1	2	1	2	0	0	1	1	5
GCF_001667865.1	3	0	1	0	1	1	0	1	0	1	1	4	23	1	1	1	2	1	1	10	9	0	3	0	1	8	1	1	1	1	1	1	1	18	1	1	3	2	2	1	0	1	1	7
GCF_001667885.1	1	0	1	0	1	1	0	1	0	0	1	7	18	1	1	1	2	1	1	9	9	1	3	0	1	10	0	1	1	1	1	1	1	17	1	1	3	2	2	1	0	1	1	8
GCF_001667945.1	2	0	1	0	0	1	0	1	0	0	1	3	13	1	1	1	1	1	1	5	4	0	2	0	1	10	0	0	0	0	1	0	0	9	0	1	2	1	2	0	0	1	1	6
GCF_001668675.1	2	0	1	0	1	1	0	1	0	0	1	10	15	1	1	1	1	1	1	10	6	0	2	0	1	7	1	1	1	1	1	1	1	18	1	1	3	2	2	0	0	1	1	10
GCF_001672755.1	2	0	1	0	1	1	0	1	0	1	1	5	17	1	1	1	2	1	1	10	7	1	3	0	1	8	1	1	1	1	1	1	1	15	1	1	3	2	2	1	0	0	1	7
GCF_001672775.1	3	0	1	0	1	1	0	1	0	0	1	7	16	1	1	1	1	1	1	5	7	0	2	0	1	9	0	1	0	1	1	1	0	13	1	1	2	2	2	1	0	1	1	7
GCF_001673315.1	2	0	1	0	1	1	0	1	0	0	1	8	14	1	1	1	1	1	1	7	6	0	2	0	1	7	1	1	1	1	1	1	1	14	1	1	2	2	2	0	0	1	1	9
GCF_001673365.1	1	0	1	0	1	1	0	1	0	1	1	8	14	1	1	1	2	0	1	10	6	0	2	0	1	7	1	1	1	1	1	1	1	14	1	1	3	2	2	1	0	1	1	9
GCF_001673565.1	2	0	1	0	0	1	0	1	0	0	1	4	15	1	1	1	1	1	1	8	4	0	2	0	1	10	0	0	0	0	1	0	0	9	0	1	2	1	2	0	0	1	1	6
GCF_001673635.1	2	0	1	0	1	1	0	1	0	0	1	10	16	1	1	1	1	1	1	9	6	0	2	0	1	7	1	1	1	1	1	1	1	16	1	1	3	2	2	0	0	1	1	10
GCF_001907675.1	1	0	1	0	1	1	0	1	0	1	1	6	20	1	1	1	1	1	1	10	10	1	4	0	1	9	0	1	0	1	1	1	1	23	1	1	5	2	2	1	0	1	1	11
GCF_001942625.1	2	0	1	0	0	1	0	1	0	0	1	6	17	1	1	2	1	1	1	12	4	0	2	0	1	7	0	0	0	1	1	1	1	15	1	1	2	2	2	1	1	1	1	6
GCF_001953985.1	2	0	1	1	1	1	0	1	0	1	1	5	18	1	1	1	2	1	1	13	8	0	3	0	1	8	1	1	1	1	1	1	1	16	1	1	3	2	2	1	0	1	1	7
GCF_002013895.1	2	0	0	0	0	1	0	2	0	0	0	7	9	1	1	1	1	1	1	10	2	1	3	0	1	6	1	0	0	1	1	0	0	8	0	1	1	1	2	0	0	1	1	9
GCF_002086115.1	1	0	1	0	1	1	0	2	0	0	1	13	17	1	1	2	1	1	1	12	3	0	2	0	1	9	0	0	0	1	1	0	0	15	1	1	2	1	2	0	0	1	1	9
GCF_002086125.1	2	0	1	0	1	1	0	1	0	1	1	8	14	1	1	1	1	1	1	10	8	0	3	0	1	9	1	1	1	1	1	1	1	15	1	1	4	2	2	1	0	1	1	9
GCF_002086275.1	2	0	1	1	1	1	0	1	0	1	1	10	18	1	1	1	1	1	1	11	10	0	2	0	1	7	1	1	1	1	1	1	1	20	1	1	3	2	2	1	1	1	1	12
GCF_002086285.1	2	0	1	0	0	1	0	1	0	0	1	7	11	1	1	1	1	1	1	7	4	0	2	0	1	10	0	0	0	0	1	0	0	9	0	1	2	1	2	0	0	1	1	7
GCF_002086455.1	2	0	1	0	1	0	0	1	0	0	1	5	14	1	1	1	1	1	1	6	4	0	2	0	1	10	0	0	0	0	1	0	0	12	0	1	3	1	2	0	0	1	1	6
GCF_002086485.1	3	0	1	0	1	1	0	3	0	0	1	16	20	1	1	2	2	1	1	10	6	0	2	0	1	12	0	0	1	1	1	1	1	18	1	1	1	2	2	1	4	1	1	12
GCF_002086515.1	2	0	1	0	1	1	0	1	0	0	1	5	6	1	1	1	1	1	1	6	3	1	2	0	1	8	0	0	0	0	1	1	0	8	0	1	1	1	2	0	0	1	1	6
GCF_002086635.1	3	0	1	0	1	1	0	1	0	1	1	6	19	1	1	1	1	1	1	9	9	0	2	0	1	12	0	1	1	1	1	1	1	16	1	1	3	2	2	1	0	1	1	8
GCF_002086675.1	2	0	1	0	1	1	0	1	0	1	1	6	17	1	1	1	1	1	1	8	9	2	3	0	1	14	0	1	1	1	1	0	1	14	1	1	2	2	2	1	0	1	1	9
GCF_002086695.1	1	0	1	0	1	1	0	1	0	0	1	8	22	1	0	2	1	1	1	12	7	0	2	0	1	8	0	0	0	1	1	0	1	18	0	0	2	1	2	0	0	1	1	6
GCF_002086735.1	1	0	1	0	1	1	0	1	0	0	1	8	23	1	1	1	1	1	1	9	9	1	3	0	1	9	1	1	1	1	1	1	1	21	1	1	4	2	2	1	0	1	1	13
GCF_002086795.1	1	0	1	0	1	1	0	1	0	0	1	9	20	1	0	2	1	1	1	13	7	0	3	0	1	9	0	0	0	1	1	1	0	28	0	1	3	1	2	1	0	1	1	7
GCF_002086815.1	1	0	0	0	1	1	0	2	0	0	1	13	24	1	1	2	1	1	1	13	4	1	2	0	1	11	0	0	0	1	1	0	0	19	1	1	2	1	2	0	1	1	0	7
GCF_002101555.1	1	0	1	0	1	1	0	2	0	0	1	13	10	1	1	2	1	1	1	9	3	0	3	0	1	8	0	0	0	1	1	0	0	12	1	1	1	2	2	0	1	1	1	11
GCF_002101585.1	2	0	1	0	1	1	0	1	0	0	1	5	13	1	1	1	1	1	1	8	4	0	2	0	1	9	0	0	0	0	1	1	0	14	0	1	2	1	2	0	0	1	1	6
GCF_002101595.1	2	0	1	0	1	1	0	1	0	0	1	5	15	1	1	1	1	1	1	5	7	1	4	0	1	10	0	1	0	1	1	1	0	12	1	1	3	2	2	1	0	1	1	6
GCF_002101675.1	1	0	1	0	1	1	0	1	0	0	1	12	18	1	1	1	1	1	1	9	9	1	3	0	1	5	1	1	1	1	1	1	1	21	1	1	2	2	2	1	0	1	1	14
GCF_002101705.1	1	0	1	0	1	1	0	1	0	0	1	9	17	1	0	2	1	1	1	11	5	0	3	0	1	9	0	0	0	1	1	0	0	18	1	1	2	1	2	0	1	1	1	6
GCF_002101735.1	2	0	1	0	1	1	0	1	0	0	1	3	16	1	1	1	1	1	1	6	7	1	3	0	1	11	0	0	1	1	1	1	0	12	1	2	2	2	2	1	0	1	1	13
GCF_002101775.1	2	0	1	0	1	1	0	1	0	0	1	4	12	1	1	1	1	1	1	8	4	0	2	0	1	9	0	0	0	0	1	1	0	10	0	1	2	1	2	0	0	1	1	6
GCF_002101815.1	1	0	1	1	1	1	0	1	0	0	1	5	20	1	1	1	1	1	1	8	8	1	2	0	1	9	1	1	0	1	1	1	1	17	1	1	3	2	2	1	0	1	1	10
GCF_002101885.1	2	0	1	0	1	1	0	1	0	0	1	4	12	1	1	1	1	1	1	6	4	0	2	0	1	10	0	0	0	0	1	0	0	12	0	1	2	1	2	0	0	1	1	6
GCF_002101965.1	3	0	1	0	1	1	0	3	0	0	1	15	20	1	2	2	1	1	1	11	4	0	3	1	1	8	0	1	1	1	1	1	1	19	1	1	2	1	2	1	2	1	1	9
GCF_002102155.1	1	0	1	0	1	1	0	1	0	0	1	9	19	1	1	1	1	1	1	11	9	2	3	0	1	10	0	1	0	1	1	1	1	21	1	1	3	2	2	1	0	1	1	9
GCF_002102175.1	2	0	0	0	1	1	0	1	0	1	1	7	18	1	1	1	1	1	1	7	9	0	4	0	1	11	1	1	1	1	1	0	1	13	1	1	2	2	2	1	0	1	1	8
GCF_002102185.1	2	0	1	1	1	1	0	1	0	0	1	4	15	1	0	1	1	1	1	5	6	0	2	0	1	11	0	1	0	0	1	1	0	13	1	1	3	2	2	1	0	1	1	8
GCF_002102255.1	1	0	1	0	1	1	0	1	0	0	1	8	27	1	1	1	1	1	1	9	9	1	3	0	1	10	0	1	1	1	1	1	1	22	1	1	4	2	2	1	0	1	1	14
GCF_002102265.1	2	0	1	0	1	1	0	1	0	0	1	6	10	1	1	1	1	1	1	8	3	1	2	0	1	8	0	0	0	0	1	1	0	9	0	1	2	1	2	0	0	1	1	7
GCF_002102345.1	3	0	2	0	1	1	0	1	0	0	1	9	25	1	2	2	1	1	1	11	4	0	2	0	1	6	0	0	1	1	1	1	1	17	1	1	3	2	2	1	1	1	1	10
GCF_002102355.1	2	0	1	0	0	1	0	1	0	0	1	5	16	1	1	1	2	1	1	10	9	1	3	1	1	9	1	1	1	1	1	1	0	16	1	1	3	2	2	1	0	1	1	7
GCF_002102395.1	2	0	1	0	1	1	0	1	0	0	1	3	9	1	1	1	1	1	1	6	3	0	2	0	1	7	0	0	0	1	1	0	0	5	0	1	0	1	2	0	0	1	1	7
GCF_002104765.1	2	0	1	0	1	1	0	1	0	1	1	8	22	1	1	1	2	1	1	8	8	0	3	0	1	8	1	1	1	1	1	1	1	21	1	1	5	2	2	1	0	1	1	10
GCF_002104795.1	2	0	1	0	1	1	0	1	0	0	1	5	10	1	1	1	1	1	1	7	3	0	2	0	1	6	0	0	0	1	1	0	0	6	0	1	0	1	2	0	0	1	1	8
GCF_002105755.1	3	0	1	1	1	1	0	1	0	1	1	7	18	1	1	1	1	1	1	12	8	0	3	0	1	9	1	1	1	1	1	1	1	15	1	1	4	2	2	1	0	1	1	6
GCF_002116635.1	1	0	1	0	1	1	1	1	1	1	1	6	19	1	1	1	2	1	2	7	9	0	3	0	1	16	1	1	0	1	1	1	1	18	1	1	1	2	2	0	0	1	1	9
GCF_002157835.1	2	0	1	0	1	1	0	3	0	0	1	16	25	1	1	2	1	1	1	9	4	0	2	0	1	10	0	0	1	1	1	1	1	18	1	1	2	3	2	1	3	1	1	12
GCF_002245535.1	1	0	1	0	1	1	0	1	0	0	1	8	19	1	1	2	1	1	1	12	8	0	2	0	1	9	0	0	0	1	1	0	0	21	1	1	3	1	2	0	0	1	1	9
GCF_002245615.1	1	0	1	0	1	1	0	1	0	0	1	6	16	1	1	2	1	1	1	11	4	0	2	0	1	9	0	0	0	1	1	0	0	14	1	1	3	1	2	0	0	1	1	8
GCF_002250655.1	1	0	1	0	1	1	0	2	0	0	1	11	16	1	3	2	2	1	1	14	6	0	2	0	1	9	0	0	0	1	1	0	1	20	0	0	2	1	2	0	0	1	1	10
GCF_002356315.1	3	0	1	0	1	0	0	1	0	0	1	5	16	1	1	1	2	1	1	8	9	2	1	0	1	6	1	1	1	1	1	1	1	16	1	1	2	2	2	1	0	1	1	7
GCF_002356335.1	1	0	0	0	0	1	0	1	0	0	0	6	7	1	1	1	1	1	1	12	2	1	2	0	1	8	0	0	0	1	1	0	0	7	0	1	1	1	2	1	0	1	1	7
GCF_002553505.1	2	0	1	0	1	1	0	3	0	0	1	17	23	1	0	2	3	1	1	12	12	0	2	0	1	10	0	0	0	1	2	1	0	21	1	1	2	1	2	0	2	1	1	7
GCF_002591975.1	1	0	1	0	1	1	0	1	0	0	1	9	19	1	0	2	1	1	1	14	10	1	2	0	1	10	0	0	0	1	1	0	0	24	0	1	3	1	2	1	0	1	1	7
GCF_002592005.1	2	0	0	0	1	1	0	2	0	0	1	8	23	1	1	2	1	1	1	9	8	2	3	0	1	12	0	0	0	1	1	0	0	19	0	1	2	1	3	0	1	1	1	8
GCF_002705925.1	1	0	1	0	0	1	0	1	0	1	1	6	17	1	1	1	2	1	1	8	9	0	5	0	1	13	1	1	1	1	1	0	1	15	1	2	2	2	2	1	0	1	1	8
GCF_002838065.1	1	0	1	0	1	1	0	1	0	0	1	5	17	1	1	2	1	1	1	9	7	0	2	1	1	9	0	1	0	1	1	1	0	11	1	1	3	2	2	1	0	1	1	7
GCF_003201655.1	2	0	0	0	1	1	0	1	0	0	1	8	21	1	0	2	1	1	1	10	5	0	3	0	1	7	0	1	0	1	1	1	0	20	1	1	5	1	2	0	1	1	1	8
GCF_003254575.1	1	1	1	0	1	1	0	1	0	0	1	7	17	1	0	2	1	1	1	13	4	0	3	0	1	8	0	0	0	0	1	0	0	15	1	1	1	1	2	0	2	1	1	8
GCF_003284925.1	2	0	1	0	1	0	0	1	0	0	0	2	17	1	1	1	1	1	1	8	4	0	2	0	1	10	0	0	0	0	1	0	0	14	0	1	2	1	2	0	0	1	1	7
GCF_003284935.1	1	0	1	0	0	1	0	1	0	1	1	6	14	1	1	1	1	1	1	12	7	0	4	0	1	10	0	1	1	1	1	1	1	13	1	1	3	2	2	1	0	1	1	9
GCF_003284975.1	2	0	1	0	1	1	0	1	0	1	0	4	16	1	1	1	2	1	1	12	6	0	4	0	1	8	1	1	1	1	1	1	1	14	1	1	3	2	2	1	0	1	1	6
GCF_003391395.1	1	0	0	1	1	1	1	1	1	1	1	5	16	1	1	1	1	1	1	9	9	1	3	0	1	10	1	1	1	1	1	1	1	10	1	1	2	2	2	1	1	1	1	8
GCF_003408705.1	1	0	0	0	1	1	0	1	0	0	1	1	3	1	0	1	1	1	1	3	4	1	0	0	1	7	0	1	0	0	0	0	0	1	1	0	0	1	2	0	1	1	1	4
GCF_003614435.1	1	0	1	0	1	1	0	1	0	0	1	12	16	1	1	1	1	1	1	10	10	2	2	0	1	7	1	1	1	1	1	1	1	21	1	1	3	2	2	1	0	1	1	15
GCF_003719305.1	2	0	1	0	1	1	0	1	0	0	1	16	18	1	0	2	1	1	1	12	9	1	3	0	1	13	0	0	0	0	1	0	0	25	1	1	3	1	2	0	1	1	1	7
GCF_003855255.1	1	0	1	0	0	1	0	3	0	0	1	8	21	1	2	2	1	1	1	11	4	0	2	0	1	9	0	0	1	1	1	0	1	17	1	1	2	2	2	1	1	1	1	11
GCF_004014805.1	1	0	1	0	0	1	0	1	0	0	1	7	19	1	0	1	1	1	1	14	6	0	2	1	1	9	0	0	0	1	1	0	1	18	1	1	3	1	2	0	0	1	1	6
GCF_004924335.1	1	0	0	0	0	1	0	1	0	0	0	6	8	1	1	1	1	1	1	11	2	1	2	0	1	8	0	0	0	1	1	0	0	4	0	1	1	1	2	0	0	1	1	6
GCF_005670685.2	1	0	1	0	1	0	0	2	0	0	1	11	14	1	1	1	2	1	1	11	4	1	2	0	1	11	0	0	0	1	1	0	1	20	1	1	1	1	2	0	2	1	1	9
GCF_006439015.1	1	0	0	0	1	1	0	1	0	0	1	13	17	1	0	2	1	1	1	9	7	0	1	0	1	8	0	0	0	1	1	0	0	18	0	0	3	1	2	0	1	1	0	6
GCF_006864685.1	1	0	1	0	1	1	0	3	0	0	1	14	16	1	1	2	1	1	1	12	6	0	3	0	1	10	0	0	0	1	1	0	0	15	1	1	1	1	2	0	1	1	2	8
GCF_007714205.1	2	0	1	0	1	1	0	1	0	0	1	10	25	1	1	1	2	1	1	6	10	1	3	0	1	7	0	1	1	1	1	0	0	16	1	1	3	2	2	1	0	1	1	9
GCF_008329645.1	1	0	1	0	1	1	0	1	0	0	1	8	13	1	0	2	1	1	1	12	3	0	3	0	1	10	0	0	0	1	1	0	0	13	1	1	1	1	2	0	1	1	1	7
GCF_008370645.1	2	0	1	0	0	1	0	1	0	0	1	4	9	1	1	1	1	1	1	7	7	0	3	0	1	7	1	0	1	1	1	1	0	9	1	1	0	2	2	1	0	1	1	9
GCF_009741445.1	1	0	1	0	1	0	1	1	0	1	1	2	18	1	1	1	2	1	1	10	6	0	3	0	1	9	1	1	1	1	1	1	1	11	1	1	3	2	2	1	0	1	1	6
GCF_009936235.1	2	0	1	0	1	1	0	1	0	0	1	3	16	1	1	1	1	1	1	5	12	1	2	0	1	11	0	1	0	1	1	0	0	14	1	1	1	2	2	0	0	1	1	7
